ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
21500328,1153428,5,5
36206172,3049273,4,4
36159120,1119510,0,0
36300000,4062501,7,7
37522284,4337138,3,3
44349416,40232448,2,3
45619876,1129625,0,0
44360448,723013,0,0
45649872,1125315,0,0
45622784,1115008,0,0
45637560,1125315,0,0
45626428,1119510,0,0
45629824,967823,0,0
45640256,1177480,0,0
45661144,40231924,2,3
45707992,975125,0,0
45779188,1174888,0,0
45676252,19078460,2,3
45681560,1127433,2,3
45703256,1310149,0,0
45703240,1549786,0,0
45895368,40165016,2,3
45795660,1124300,0,0
46289096,1119510,0,0
45688432,1125315,0,0
46243496,1125315,0,0
45794312,1119510,0,0
46314688,1129625,0,0
45894820,1107882,2,3
4024567,257012,3,6
4047779,4066995,5,8
4247371,380378,4,4
21004248,1192710,0,0
21500328,1125315,5,5
36203064,4230399,3,3
36159004,1119510,0,0
36300000,40479424,11,14
37520732,4336464,3,3
44349464,19008572,2,3
45619844,1112807,0,0
44360452,738818,0,0
45649956,1125315,0,0
45623120,740275,0,0
45637560,1125315,0,0
45626264,1119510,0,0
45629784,1124957,0,0
45639648,1177480,0,0
45661156,19078924,2,3
45705096,975125,0,0
45779340,1192710,0,0
45673416,19075600,2,3
45679752,40229136,2,3
45703264,975125,0,0
45703164,1149380,0,0
45895480,40232448,2,3
45795664,1549786,0,0
46288984,1119510,0,0
45688376,1125315,0,0
46243596,1125315,0,0
45794280,1119510,0,0
46317744,1129625,0,0
45650644,1551192,2,3
4102111,4285898,3,6
4047779,4237458,5,8
4247371,372328,4,4
21004248,1115008,0,0
21500328,1150836,5,5
36203064,4134304,3,3
36159148,1119510,0,0
36300000,4174876,8,9
37302324,4102123,3,3
44349452,19057272,2,3
45619848,1112807,0,0
44360456,1713332,0,0
45651888,1125315,0,0
45622768,1149196,0,0
45637264,1125315,0,0
45626304,1119510,0,0
45629788,791967,0,0
45639652,1177480,0,0
45661364,19019272,2,3
45633080,1548195,0,0
45779340,1713332,0,0
45680568,40228216,2,3
45679776,19008572,2,3
45703276,1154343,0,0
45703384,967823,0,0
45895384,40232448,2,3
45795664,19127890,0,0
46243600,1119510,0,0
45688168,1125315,0,0
46243600,1125315,0,0
45791452,1119510,0,0
46317092,1129625,0,0
45894952,40223768,2,3
320136,4280726,2,6
4047779,40480160,5,8
4247371,381316,4,4
21004388,1112807,0,0
21500328,1149196,5,5
36203064,4146173,3,3
36158928,1119510,0,0
36300000,4035415,8,12
37521808,4337611,3,3
44349428,1115171,2,3
45619848,1589505,0,0
